UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Rio Grande do Norte;Todas as Raças;Todas as situações;Casal com filhas/os;107284
Rio Grande do Norte;Todas as Raças;Todas as situações;Todos os tipos;479060
Rio Grande do Norte;Todas as Raças;Todas as situações;Unipessoal;56675
Rio Grande do Norte;Todas as Raças;Todas as situações;Outros;40489
Rio Grande do Norte;Branca;Todas as situações;Outros Tipos;180149
Rio Grande do Norte;Negra;Todas as situações;Outros Tipos;298237
Rio Grande do Norte;Outras;Todas as situações;Outros Tipos;674
Rio Grande do Norte;Todas as Raças;Rural;Outros Tipos;87043
Rio Grande do Norte;Todas as Raças;Urbana;Outros Tipos;392017
Rio Grande do Sul;Todas as Raças;Todas as situações;Outros;95728
Rio Grande do Sul;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;576627
Rio Grande do Sul;Todas as Raças;Todas as situações;Todos os tipos;1812448
Rio Grande do Sul;Todas as Raças;Todas as situações;Unipessoal;438494
Rio Grande do Sul;Todas as Raças;Todas as situações;Casal com filhas/os;440896
Rio Grande do Sul;Todas as Raças;Todas as situações;Casal sem filhas/os;260703
Rio Grande do Sul;Branca;Todas as situações;Outros Tipos;1435733
Rio Grande do Sul;Negra;Todas as situações;Outros Tipos;366858
Rio Grande do Sul;Outras;Todas as situações;Outros Tipos;9857
Rio Grande do Sul;Todas as Raças;Rural;Outros Tipos;156256
Rio Grande do Sul;Todas as Raças;Urbana;Outros Tipos;1656192
Rondônia;Todas as Raças;Todas as situações;Casal sem filhas/os;20654
Rondônia;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;78586
Rondônia;Todas as Raças;Todas as situações;Todos os tipos;197227
Rondônia;Todas as Raças;Todas as situações;Casal com filhas/os;54410
Rondônia;Todas as Raças;Todas as situações;Outros;12846
Rondônia;Todas as Raças;Todas as situações;Unipessoal;30731
Rondônia;Branca;Todas as situações;Outros Tipos;63478
Rondônia;Negra;Todas as situações;Outros Tipos;132742
Rondônia;Outras;Todas as situações;Outros Tipos;1007
Rondônia;Todas as Raças;Rural;Outros Tipos;23178
Rondônia;Todas as Raças;Urbana;Outros Tipos;174049
Roraima;Todas as Raças;Todas as situações;Casal com filhas/os;25844
Roraima;Todas as Raças;Todas as situações;Todos os tipos;75267
Roraima;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;27186
Roraima;Todas as Raças;Todas as situações;Outros;4182
Roraima;Todas as Raças;Todas as situações;Casal sem filhas/os;9503
Roraima;Todas as Raças;Todas as situações;Unipessoal;8552
Roraima;Branca;Todas as situações;Outros Tipos;13303
Roraima;Negra;Todas as situações;Outros Tipos;57783
Roraima;Outras;Todas as situações;Outros Tipos;4181
Roraima;Todas as Raças;Rural;Outros Tipos;7984
Roraima;Todas as Raças;Urbana;Outros Tipos;67283
Santa Catarina;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;293518
Santa Catarina;Todas as Raças;Todas as situações;Casal sem filhas/os;118924
Santa Catarina;Todas as Raças;Todas as situações;Outros;43811
Santa Catarina;Todas as Raças;Todas as situações;Unipessoal;210031
