"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
250370;CAJAZEIRAS;PB;Centro de Referência de Atendimento à Mulher (CRAM) Suzane Alves da Silva - Cajazeiras;Rua Barão do Rio Branco, nº 309   ;Municipal
250400;CAMPINA GRANDE;PB;Centro Estadual de Referência da Mulher Fátima Lopes - Campina Grande;Avenida Pedro I, nº 558;Estadual
250750;JOÃO PESSOA;PB;Centro de Referência da Mulher (CRM) Ednalva Bezerra - João Pessoa;Rua Afonso Campos, nº 111;Municipal
251340;SANTA LUZIA;PB;Centro de Referencia de Atenção a Mulher (CRAM) - Santa Luzia;Rua Otílio Dantas da Nóbrega, nº 108     ;Municipal
251080;PATOS;PB;Centro de Referência de Atendimento à Mulher - Patos;Rua Natalia de Figueiredo, s/nº Referência : ao lado do Serviço Social do Comércio (SESC);Municipal
250400;CAMPINA GRANDE;PB;Centro de Referência de Atendimento a Mulher Professora Ana Mendes Leite - Campina Grande;Rua Capitão João Alves de Lira, nº 295;Municipal
260290;CABO DE SANTO AGOSTINHO;PE;Centro de Referência Maria Purcina - Cabo de Santo Agostinho      ;Rua Visconde de Pelotas, nº 82;Municipal
260410;CARUARU;PE;Centro de Referência da Mulher (CRM) Maria Bonita - Caruaru   ;Rua Felipe Camarão nº 93;Municipal
260620;GOIANA;PE;Centro de Referência de Atendimento a Mulher (CRAM) Sandra Maria Rodrigues - Goiana   ;Rua Cleto Campelo, nº 51;Municipal
260630;GRANITO;PE;Centro de Referência de Atendimento à Mulher (CRAM) Maria Bernardo da Purificação - Granito   ;Rua Josefa de Alencar Ferraz, nº 224;Municipal
260790;JABOATÃO DOS GUARARAPES;PE;Centro de Referência da Mulher (CRM) Maristela Just - Jaboatão dos Guararapes ;Rua Travessa São João, nº 64 -Referência: próximo à Delegacia Especializada da Mulher  ;Municipal
