UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Rio Grande do Sul;Todas as raças;Rural;Outros tipos;370189
Rio Grande do Sul;Todas as raças;Urbana;Outros tipos;1442259
Rio Grande do Sul;Todas as raças;Todos as situações;Outros;95728
Rio Grande do Sul;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;576627
Rio Grande do Sul;Todas as raças;Todos as situações;Todos os tipos;1812448
Rio Grande do Sul;Todas as raças;Todos as situações;Unipessoal;438494
Rio Grande do Sul;Todas as raças;Todos as situações;Casal com filhas/os;440896
Rio Grande do Sul;Todas as raças;Todos as situações;Casal sem filhas/os;260703
Rondônia;Branca;Todos as situações;Outros tipos;63478
Rondônia;Negra;Todos as situações;Outros tipos;132742
Rondônia;Outras;Todos as situações;Outros tipos;1007
Rondônia;Todas as raças;Rural;Outros tipos;132742
Rondônia;Todas as raças;Urbana;Outros tipos;64485
Rondônia;Todas as raças;Todos as situações;Casal sem filhas/os;20654
Rondônia;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;78586
Rondônia;Todas as raças;Todos as situações;Todos os tipos;197227
Rondônia;Todas as raças;Todos as situações;Casal com filhas/os;54410
Rondônia;Todas as raças;Todos as situações;Outros;12846
Rondônia;Todas as raças;Todos as situações;Unipessoal;30731
Roraima;Branca;Todos as situações;Outros tipos;13303
Roraima;Negra;Todos as situações;Outros tipos;57783
Roraima;Outras;Todos as situações;Outros tipos;4181
Roraima;Todas as raças;Rural;Outros tipos;58163
Roraima;Todas as raças;Urbana;Outros tipos;17104
Roraima;Todas as raças;Todos as situações;Casal com filhas/os;25844
Roraima;Todas as raças;Todos as situações;Todos os tipos;75267
Roraima;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;27186
Roraima;Todas as raças;Todos as situações;Outros;4182
Roraima;Todas as raças;Todos as situações;Casal sem filhas/os;9503
Roraima;Todas as raças;Todos as situações;Unipessoal;8552
Santa Catarina;Branca;Todos as situações;Outros tipos;707314
Santa Catarina;Negra;Todos as situações;Outros tipos;125880
Santa Catarina;Outras;Todos as situações;Outros tipos;6262
Santa Catarina;Todas as raças;Rural;Outros tipos;128663
Santa Catarina;Todas as raças;Urbana;Outros tipos;710793
